toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1312.01,405904232,FP,20h06m15.03s,3015626310,+52d09m51.05s,521641810,74310000,41,-41,0,119220000,44,-44,0,24605490827410,504,-504,0,110765063,66,-66,0,46920000,1400000,-1400000,0,44000000000,500679000,-500679000,0,128076000,5788920,-5788920,0,1893480000,,,,10330000000,,,,101098000,6,-6,0,3161760000,21845000,-21845000,0,64600000000,5463000000,-5463000000,0,40000000,800000,-800000,0,18600000,800000,-800000,0,2019-10-17 00:30:12,2024-12-14 12:02:56
1313.01,11111899,FP,20h15m17.96s,3038248310,+36d39m06.51s,366518070,57000000,1300,-1300,0,9000000,1300,-1300,0,24605578009730,536,-536,0,6193401,5,-5,0,15140000,1330000,-1330000,0,18530000000,1614640000,-1614640000,0,88413600,,,0,559901000000,,,,,,,,96996000,6,-6,0,3033130000,,,0,78125000000,3290000000,-3290000000,0,,,,0,17900000,,,0,2019-10-17 00:30:12,2024-10-10 10:08:04
1314.01,136848581,FP,21h10m59.5s,3177479000,+43d33m06.82s,435518950,-72390000,46,-46,0,-132540000,47,-47,0,24603658222000,2897,-2897,0,26400663,76,-76,0,33680000,10130000,-10130000,0,13280000000,21415500000,-21415500000,0,182671000,,,0,77196400000,,,,26110000000,,,,99048200,6,-6,0,2853600000,23665000,-23665000,0,51550000000,1220000000,-1220000000,0,,,,0,27200000,,,0,2019-10-17 00:30:12,2024-04-17 10:08:01
1315.01,137284119,FP,21h12m56.44s,3182351610,+46d16m05.12s,462680900,109500000,50,-50,0,38260000,52,-52,0,24598204091010,2511,-2511,0,25778717,237,-237,0,34720000,1760000,-1760000,0,10100000000,1450560000,-1450560000,0,186870000,42329900,-42329900,0,622415000000,,,,44000000000,,,,91481900,6,-6,0,4537440000,64355000,-64355000,0,83210000000,1975000000,-1975000000,0,37500000,800000,-800000,0,31600000,1100000,-1100000,0,2019-10-17 00:30:12,2022-10-03 16:02:02
1316.01,15565627,FP,20h28m04s,3070166470,+39d52m37.67s,398771300,-55070000,44,-44,0,-137460000,44,-44,0,24586840607200,5390,-5390,0,38050900,5800,-5800,0,33470000,6450000,-6450000,0,12800000000,22275000,-22275000,0,85719300,6554970,-6554970,0,12141100000,,,,16440000000,,,,103332000,21,-21,0,4349620000,50730000,-50730000,0,65555000000,1420000000,-1420000000,0,38300000,1000000,-1000000,0,23500000,1500000,-1500000,0,2019-10-17 00:30:12,2021-10-29 12:59:15
1317.01,165523947,FP,21h07m15.33s,3168138850,+40d10m01.82s,401671720,-4810000,39,-39,0,-36160000,37,-37,0,24587118577600,7380,-7380,0,29904100,17300,-17300,0,39520000,4450000,-4450000,0,12900000000,6031900000,-6031900000,0,242511000,96661100,-96661100,0,542643000000,,,,42520000000,,,,102918000,16,-16,0,6971160000,127040000,-127040000,0,85420000000,2047000000,-2047000000,0,36600000,800000,-800000,0,35600000,1200000,-1200000,0,2019-10-17 00:30:12,2024-10-10 10:08:04
1318.01,167092385,PC,21h14m53.91s,3187246230,+38d05m39.24s,380942320,46000000,1600,-1600,0,31000000,1700,-1700,0,24605570565790,2360,-2360,0,49865029,139,-139,0,24410000,6470000,-6470000,0,13410000000,828803000,-828803000,0,,,,0,,,,,,,,,101510000,18,-18,0,3437280000,,,0,,,,0,,,,0,,,,0,2019-10-17 00:30:12,2024-11-14 10:08:02
1319.01,167098530,FP,21h14m30.51s,3186271070,+40d01m01.26s,400170170,519630000,43,-43,0,771730000,47,-47,0,24598238537400,1301,-1301,0,8909670,17,-17,0,17840000,3380000,-3380000,0,11000000000,20134600,-20134600,0,28967800,2135380,-2135380,0,32253200000,,,,20990000000,,,,93213000,6,-6,0,736326000,1672000,-1672000,0,51592000000,914000000,-914000000,0,45000000,800000,-800000,0,8700000,500000,-500000,0,2019-10-17 00:30:12,2022-10-03 10:10:02
132.01,89020549,CP,22h33m35.92s,3383996620,-43d26m12.74s,-434368720,355530000,43,-43,0,-530550000,54,-54,0,24583269049180,724,-724,0,21096805,40,-40,0,21344043,1865699,-1865699,0,13097297126,508765600,-508765600,0,36396725,5658798,-5658798,0,6442138136,,,,12849234580,,,,108061000,6,-6,0,1636780000,9870000,-9870000,0,56730000000,1880000000,-1880000000,0,45538300,4189000,-4189000,0,9408060,527538,-527538,0,2018-09-05 18:51:57,2025-06-04 16:00:01
1320.01,167403519,PC,21h17m18s,3193250100,+38d06m17.48s,381048550,-45000000,1600,-1600,0,-150000000,1600,-1600,0,24605564649580,518,-518,0,39729429,33,-33,0,36530000,1650000,-1650000,0,45580000000,616742000,-616742000,0,,,,0,,,,,,,,,103340000,38,-38,0,3402890000,,,0,,,,0,,,,0,,,,0,2019-10-17 00:30:12,2024-11-05 10:08:02
