kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9221528,K03355.01,,CANDIDATE,CANDIDATE,9990,0,0,0,0,16295322800,2740,-2740,1447982000,13800,-13800,5870,3600,-3650,488200,35500,-35500,2290000,20600,-20600,1.60,510,-220,773.0,,,84.23,82.59,-30.87,12.90,1,q1_q17_dr25_tce,6187.00,197.00,-241.00,4432,72,-203,1.0130,3260,-1400,293134090,45626869,15110
6106046,K07762.01,,CANDIDATE,CANDIDATE,9770,0,0,0,0,8507351200,977,-977,1358115000,11600,-11600,2230,2370,-2230,226600,26000,-26000,2100000,28600,-28600,1.38,430,-140,891.0,,,148.86,140.34,-45.00,8.90,1,q1_q17_dr25_tce,5914.00,184.00,-205.00,4483,54,-216,9550,2970,-990,285237150,41497532,15330
6368230,K03356.01,Kepler-1478 b,CONFIRMED,CANDIDATE,9960,0,0,0,0,26084121200,5060,-5060,1494437000,15600,-15600,920,3730,-920,614100,35200,-35200,2600000,21800,-21800,1.35,410,-100,598.0,,,30.24,27.59,-7.61,13.80,1,q1_q17_dr25_tce,6083.00,181.00,-199.00,4563,36,-204,8350,2540,-630,293165100,41746231,15440
7115291,K03357.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,52802767576,"71,2","-71,2",1672702940,105,-105,1.4730,1660,-1290,561840,1040,-1040,521000000,54800,-54800,75.82,22100,-8830,472.0,,,11.73,10.03,-3.62,1238.80,1,q1_q17_dr25_tce,5835.00,157.00,-174.00,4492,65,-195,9010,2630,-1050,291000950,42622231,15193
9907505,K03427.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,39206808648,"31,5","-31,5",1424611109,66,-66,8100,150,-140,624701,363,-363,1870000000,207000,-207000,50.20,16000,-4030,516.0,,,16.82,16.08,-4.23,1274.30,1,q1_q17_dr25_tce,5945.00,179.00,-179.00,4545,39,-208,8610,2740,-690,297817930,46764210,15545
9027909,K03428.01,Kepler-1496 b,CONFIRMED,CANDIDATE,9880,0,0,0,0,64658916600,8980,-8980,1701797200,9830,-9830,830,3760,-830,771000,29100,-29100,2350000,19600,-19600,2.12,350,-420,535.0,,,19.39,8.13,-7.70,13.90,1,q1_q17_dr25_tce,5821.00,69.00,-87.00,4172,162,-108,1.3950,2280,-2790,293973940,45350700,14694
9230021,K03429.01,,CANDIDATE,CANDIDATE,8920,0,0,0,0,15828383300,4560,-4560,1443927000,25700,-25700,6230,0,-4980,364300,52700,-52700,2280000,33000,-33000,1.80,280,-280,758.0,,,78.20,32.54,-25.35,9.80,2,q1_q17_dr25_tce,5596.00,83.00,-75.00,4298,143,-104,1.1450,1780,-1780,296196140,45634331,15364
6369845,K07777.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,27676034200,5340,-5340,1449833000,16900,-16900,710,3950,-710,423400,38500,-38500,2670000,22400,-22400,5.15,2170,-1770,951.0,,,193.23,236.62,-117.93,14.40,1,q1_q17_dr25_tce,5123.00,128.00,-128.00,3442,325,-266,3.2240,1.3530,-11070,293647580,41730679,13330
9230021,K03429.02,Kepler-1497 b,CONFIRMED,CANDIDATE,9930,0,0,0,0,8741923610,871,-871,1354272700,8700,-8700,250,4160,-250,423500,18400,-18400,2960000,17100,-17100,1.94,300,-300,924.0,,,172.38,71.72,-55.89,18.50,1,q1_q17_dr25_tce,5596.00,83.00,-75.00,4298,143,-104,1.1450,1780,-1780,296196140,45634331,15364
9230021,K03429.03,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,26936878000,11100,-11100,1577573000,33500,-33500,2807,1762,-2806,496900,57000,-57000,2470000,33500,-33500,1.57,640,-170,617.0,,,34.24,42.37,-10.62,8.80,,,5878.00,181.00,-202.00,4442,66,-281,9980,4070,-1090,296196140,45634331,15364
3662838,K00302.02,,FALSE POSITIVE,FALSE POSITIVE,,1,1,0,0,53344180380,,,1700739545,,,,,,362000,,,,,,,,,,,,,,,,,,,,,,,,,,,295608800,38735741,12059
5471688,K03499.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,12428130800,3790,-3790,1414385000,48200,-48200,3300,1240,-3300,679000,100000,-100000,1310000,10600,-10600,0.85,170,-60,715.0,,,61.78,40.49,-14.92,9.40,1,q1_q17_dr25_tce,5940.00,196.00,-196.00,4621,36,-144,7290,1500,-500,297725040,40644310,15056
8552719,K01792.03,Kepler-953 c,CONFIRMED,CANDIDATE,9910,0,0,0,0,9109693340,270,-270,1330656600,2490,-2490,7610,100,-5420,531810,6770,-6770,1260000,2700,-2700,1.32,210,-130,873.0,,,137.45,61.47,-34.46,47.80,2,q1_q17_dr25_tce,5611.00,100.00,-112.00,4388,80,-120,1.0730,1730,-1060,288971650,44624531,12160
5471688,K03499.02,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,962832640,"74,7","-74,7",1322008700,7350,-7350,4963,4444,-2744,294700,17500,-17500,963000,7200,-7200,0.74,280,-40,1686.0,,,1908.55,2218.42,-415.85,16.40,3,q1_q17_dr24_tce,5955.00,206.00,-183.00,4617,26,-238,7330,2740,-430,297725040,40644310,15056
6058816,K03500.01,Kepler-1927 b,CONFIRMED,CANDIDATE,9300,0,0,0,0,73750276500,5230,-5230,1885222100,5530,-5530,1270,3170,-1270,1330900,16700,-16700,2330000,7000,-7000,3.78,530,-1310,677.0,,,49.76,18.22,-29.61,33.90,1,q1_q17_dr25_tce,6056.00,81.00,-81.00,3797,285,-95,2.4810,3430,-8590,296354610,41335560,13214
6058816,K03500.02,,CANDIDATE,CANDIDATE,9790,0,0,0,0,4748266900,601,-601,1358003000,10800,-10800,6730,2920,-4490,494700,29900,-29900,356000,3400,-3400,1.57,210,-550,1690.0,,,1927.62,706.15,-1146.93,12.10,2,q1_q17_dr25_tce,6056.00,81.00,-81.00,3797,285,-95,2.4810,3430,-8590,296354610,41335560,13214
5130740,K03583.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,210306443610,356,-356,2851273940,117,-117,1.1550,1250,-760,668665,818,-818,465000000,49400,-49400,101.13,26300,-26300,525.0,,,17.94,13.87,-9.78,1081.70,1,q1_q17_dr25_tce,7591.00,211.00,-343.00,4050,187,-153,2.0170,5250,-5250,299219450,40212311,12504
9892471,K03584.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,8268081087,"6,34","-6,34",1350563298,64,-64,1.0990,4740,-420,347103,784,-784,715000000,73000,-73000,50.31,14900,-4970,863.0,,,130.83,113.80,-37.92,1320.50,1,q1_q17_dr25_tce,5749.00,156.00,-190.00,4502,50,-200,9220,2730,-910,292531250,46728699,15768
2019076,K03585.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,3564614021,"4,51","-4,51",1318623500,109,-109,9890,340,-50,344204,504,-504,943000000,153000,-153000,46.00,11900,-6390,1187.0,,,470.37,368.88,-165.61,728.80,1,q1_q17_dr25_tce,5891.00,177.00,-195.00,4450,112,-168,8920,2310,-1240,292462490,37442619,15671
5879448,K07745.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,533477070000,326000,-326000,2453651000,45100,-45100,4180,410,-4180,2371000,130000,-130000,2110000,16300,-16300,2.60,560,-890,315.0,,,2.33,1.58,-1.43,15.30,1,q1_q17_dr25_tce,6077.00,201.00,-164.00,3931,323,-129,1.7590,3730,-6050,292828090,41139351,13294
7376490,K03586.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,5877122413,"17,8","-17,8",1364207180,251,-251,1.2380,820,-620,373690,1260,-1260,156000000,66200,-66200,45.95,13600,-10200,1061.0,,,300.43,260.76,-137.11,287.60,1,q1_q17_dr25_tce,5778.00,155.00,-155.00,4325,214,-195,1.0430,3090,-2310,295686070,42970619,13147
11968513,K03587.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,1036592635,"1,9","-1,9",1320891460,164,-164,8980,1270,-930,240749,794,-794,1250000000,320000,-320000,463.05,79600,-119000,4194.0,,,73013.77,32116.38,-35125.08,444.70,1,q1_q17_dr25_tce,4884.00,58.00,-72.00,2737,162,-108,8.7470,1.5040,-22560,294361600,50305260,14441
4263529,K03358.01,,CANDIDATE,CANDIDATE,1.2000,0,0,0,0,10104043510,104,-104,1328928410,867,-867,9510,230,-6760,100220,5590,-5590,13200000,54800,-54800,04.05,910,-390,752.0,,,75.32,50.39,-20.17,39.50,1,q1_q17_dr25_tce,5530.00,149.00,-149.00,4541,50,-150,8310,1870,-800,291889070,39361771,14031
7866921,K03360.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,91499997800,554,-554,1827690450,499,-499,7360,20,-30,1958180,2970,-2970,655000000,131000,-131000,21.86,3170,-1950,335.0,,,2.98,1.42,-0.76,1018.40,1,q1_q17_dr25_tce,5263.00,158.00,-142.00,4572,45,-91,7740,1120,-690,279856080,43667900,14801
6619815,K03361.01,Kepler-1696 b,CONFIRMED,CANDIDATE,4840,0,0,0,0,65940786900,8700,-8700,2319715500,8520,-8520,3320,1590,-3320,777600,27600,-27600,5800000,34500,-34500,2.33,640,-280,454.0,,,10.04,8.25,-3.28,19.80,1,q1_q17_dr25_tce,5982.00,168.00,-210.00,4493,50,-200,9600,2660,-1140,295576080,42023361,15502
6113752,K07763.01,,FALSE POSITIVE,FALSE POSITIVE,1980,1,0,0,0,406457370000,156000,-156000,2308834000,34700,-34700,4280,340,-4280,955400,55100,-55100,2840000,25900,-25900,1.96,660,-260,278.0,,,1.42,1.36,-0.49,12.70,1,q1_q17_dr25_tce,6217.00,149.00,-204.00,4364,90,-210,1.1410,3840,-1530,288622890,41445480,13079
3098197,K03362.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,30476398590,597,-597,1562400700,1610,-1610,9200,710,-420,1797280,8790,-8790,1310000000,684000,-684000,43.01,9950,-3330,542.0,,,20.39,13.98,-4.83,236.20,1,q1_q17_dr25_tce,5913.00,159.00,-159.00,4585,40,-160,7870,1820,-610,286004610,38284710,14840
11651712,K03363.01,Kepler-1479 b,CONFIRMED,CANDIDATE,9970,0,0,0,0,14532605460,438,-438,1404685000,2380,-2380,1120,3350,-1120,242120,7100,-7100,3290000,13300,-13300,1.69,510,-170,746.0,,,73.37,64.34,-20.69,29.00,1,q1_q17_dr25_tce,6003.00,161.00,-179.00,4507,52,-208,9320,2790,-930,285711910,49706661,13785
